주문ID,주문일자,상품,MD유저,카테고리,팀,매체,상품취급액,부가매출,서비스매출,광고매출,적립금,할인금액,매출원가,매출총이익,변동비,공헌이익
ORD001,2026-06-01,시그니처 세트A,MD001,뷰티,뷰티팀,CJ온스타일,150000,5000,0,0,2000,15000,75000,75000,8000,67000
ORD002,2026-06-01,프리미엄 에센스,MD002,뷰티,뷰티팀,홈쇼핑모바일,85000,2000,0,0,1200,8500,35000,50000,4500,45500
ORD003,2026-06-01,주방용품 세트,MD003,생활용품,생활팀,GS홈쇼핑,220000,8000,3000,0,3500,20000,110000,110000,12000,98000
ORD004,2026-06-02,침구류 패키지,MD001,생활용품,생활팀,CJ온스타일,185000,6000,2000,500,2500,18500,92500,92500,10000,82500
ORD005,2026-06-02,화장품 세트,MD004,뷰티,뷰티팀,쿠팡,95000,3500,0,1000,1400,9500,45000,50000,5200,44800
ORD006,2026-06-02,전자제품,MD005,전자,전자팀,홈쇼핑모바일,350000,12000,5000,2000,5000,35000,175000,175000,19000,156000
ORD007,2026-06-03,패션 의류,MD006,패션,패션팀,CJ온스타일,120000,4000,0,0,1800,12000,60000,60000,6500,53500
ORD008,2026-06-03,주방용품,MD003,생활용품,생활팀,GS홈쇼핑,165000,6000,2500,0,2500,16500,82500,82500,9000,73500
ORD009,2026-06-03,헬스용품,MD007,스포츠,스포츠팀,홈쇼핑모바일,210000,7000,3000,1500,3200,21000,105000,105000,11500,93500
ORD010,2026-06-04,식품 세트,MD008,식품,식품팀,CJ온스타일,185000,0,0,0,2800,18500,92500,92500,10000,82500
ORD011,2026-06-04,화장품,MD002,뷰티,뷰티팀,홈쇼핑모바일,75000,2500,0,500,1100,7500,35000,40000,3800,36200
ORD012,2026-06-04,침구류,MD001,생활용품,생활팀,쿠팡,145000,5000,1500,0,2200,14500,72500,72500,7800,64700
