방송ID,방송일자,방송시간,홈쇼핑사,호스트,상품명,카테고리,편성분,판매량,매출액,조회수,시청률
HS001,2026-06-04,10:00:00,CJ온스타일,이혜영,명품 핸드백 컬렉션,패션,60,450,18900000,125000,4.2
HS002,2026-06-04,11:00:00,GS홈쇼핑,김혜수,무선 청소기 프리미엄,생활용품,50,1280,25600000,187000,5.8
HS003,2026-06-04,12:00:00,현대홈쇼핑,이시영,스마트 냉장고,전자,70,380,65000000,245000,7.1
HS004,2026-06-04,13:00:00,롯데홈쇼핑,손예진,고급 침구류 세트,생활용품,45,920,13800000,98000,3.9
HS005,2026-06-04,14:00:00,NS홈쇼핑,박은영,명품 화장품 세트,뷰티,55,1650,12375000,156000,4.5
HS006,2026-06-04,15:00:00,CJ온스타일,이혜영,프리미엄 커피머신,생활용품,60,540,27000000,189000,5.2
HS007,2026-06-04,16:00:00,GS홈쇼핑,김혜수,스포츠웨어 세트,패션,50,1100,9900000,134000,4.1
HS008,2026-06-04,17:00:00,현대홈쇼핑,이시영,고급 와인 세트,식품,65,520,39000000,287000,6.9
HS009,2026-06-04,18:00:00,롯데홈쇼핑,손예진,스마트 워치,전자,70,850,21250000,215000,5.3
HS010,2026-06-04,19:00:00,NS홈쇼핑,박은영,건강식품 세트,식품,50,1420,4260000,87000,2.1
HS011,2026-06-03,10:00:00,CJ온스타일,이혜영,샤넬 향수 컬렉션,뷰티,60,680,13600000,156000,4.8
HS012,2026-06-03,11:00:00,GS홈쇼핑,김혜수,세라믹 냄비세트,생활용품,50,1050,10500000,145000,4.3
HS013,2026-06-03,12:00:00,현대홈쇼핑,이시영,오감 마사지기,건강용품,70,420,29400000,267000,6.5
HS014,2026-06-03,13:00:00,롯데홈쇼핑,손예진,루이뷔똥 지갑,패션,45,290,17400000,189000,5.1
HS015,2026-06-03,14:00:00,NS홈쇼핑,박은영,프리미엄 이어폰,전자,55,1100,12100000,167000,4.6
HS016,2026-06-03,15:00:00,CJ온스타일,이혜영,식품 선물 세트,식품,60,780,8580000,124000,3.7
HS017,2026-06-03,16:00:00,GS홈쇼핑,김혜수,무릎보호대 5개세트,건강용품,50,1850,5550000,98000,2.9
HS018,2026-06-03,17:00:00,현대홈쇼핑,이시영,고급 스피커,전자,65,510,28710000,245000,6.1
HS019,2026-06-03,18:00:00,롯데홈쇼핑,손예진,유기농 화장품,뷰티,70,620,18600000,198000,4.9
HS020,2026-06-03,19:00:00,NS홈쇼핑,박은영,여행용 캐리어,생활용품,50,450,9000000,145000,4.0
HS021,2026-06-02,10:00:00,CJ온스타일,이혜영,럭셔리 선글라스,패션,60,320,12800000,145000,4.1
HS022,2026-06-02,11:00:00,GS홈쇼핑,김혜수,정수기 필터교체,생활용품,50,890,4450000,87000,2.8
HS023,2026-06-02,12:00:00,현대홈쇼핑,이시영,프리미엄 건드라이기,생활용품,70,650,29250000,298000,7.2
HS024,2026-06-02,13:00:00,롯데홈쇼핑,손예진,명품 시계,패션,45,180,21600000,216000,5.6
HS025,2026-06-02,14:00:00,NS홈쇼핑,박은영,영양제 종합세트,건강용품,55,1320,5280000,112000,3.2
HS026,2026-06-02,15:00:00,CJ온스타일,이혜영,고급 커피 원두,식품,60,920,13800000,167000,4.5
HS027,2026-06-02,16:00:00,GS홈쇼핑,김혜수,청소용품 대용량,생활용품,50,1650,8250000,134000,3.9
HS028,2026-06-02,17:00:00,현대홈쇼핑,이시영,스마트 조리기,전자,65,470,28200000,267000,6.3
HS029,2026-06-02,18:00:00,롯데홈쇼핑,손예진,피부관리 세트,뷰티,70,580,17400000,178000,4.7
HS030,2026-06-02,19:00:00,NS홈쇼핑,박은영,운동화 명품 컬렉션,패션,50,420,8400000,156000,4.2
HS031,2026-06-01,10:00:00,CJ온스타일,이혜영,에르메스 스카프,패션,60,250,15000000,178000,4.9
HS032,2026-06-01,11:00:00,GS홈쇼핑,김혜수,공기청정기 최신형,생활용품,50,620,18600000,245000,6.2
HS033,2026-06-01,12:00:00,현대홈쇼핑,이시영,프리미엄 청소기,생활용품,70,580,30600000,289000,7.0
HS034,2026-06-01,13:00:00,롯데홈쇼핑,손예진,고급 이너웨어,패션,45,920,27600000,267000,6.1
HS035,2026-06-01,14:00:00,NS홈쇼핑,박은영,프로틴 보충제,건강용품,55,1580,4740000,134000,3.5
HS036,2026-06-01,15:00:00,CJ온스타일,이혜영,고급 초콜릿,식품,60,1100,9900000,145000,4.3
HS037,2026-06-01,16:00:00,GS홈쇼핑,김혜수,침대패드 세트,생활용품,50,780,15600000,198000,5.0
HS038,2026-06-01,17:00:00,현대홈쇼핑,이시영,무선 이어폰,전자,65,580,14500000,234000,5.8
HS039,2026-06-01,18:00:00,롯데홈쇼핑,손예진,안티에이징 크림,뷰티,70,950,28500000,267000,6.4
HS040,2026-06-01,19:00:00,NS홈쇼핑,박은영,여행용 필수품세트,생활용품,50,680,13600000,167000,4.6
